"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 23 23:23:22 GMT 2022","Wed Feb 23 23:23:24 GMT 2022","1630","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesButton","AVINTY-008 Check add on relative button",""
"skipped","Wed Feb 23 23:23:43 GMT 2022","Wed Feb 23 23:23:43 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","editRelativeDatasModifyRelationshipDropdown","AVINTY-023 Edit relative datas, modify the Relationship dropdown",""
"passed","Wed Feb 23 23:23:14 GMT 2022","Wed Feb 23 23:23:19 GMT 2022","4925","","tests.BasePageTest","","tests.BasePageTest","goToLandingPage","Testing test enviroment is ready. Navigate to BasePage",""
"failed","Wed Feb 23 23:23:30 GMT 2022","Wed Feb 23 23:23:32 GMT 2022","2169","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesBirthDateInvalid","AVINTY-012 Add on relative (all datas are valid but birth date is invalid)",""
"passed","Wed Feb 23 23:23:19 GMT 2022","Wed Feb 23 23:23:20 GMT 2022","1511","","tests.BasePageTest","","tests.BasePageTest","clickingOnPatientName","AVINTY-001 Clicking on a patient name",""
"skipped","Wed Feb 23 23:23:20 GMT 2022","Wed Feb 23 23:23:20 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","deletePatientNoRelatives","AVINTY-002 Delete patient who has no relative",""
"skipped","Wed Feb 23 23:23:43 GMT 2022","Wed Feb 23 23:23:43 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","namesSortedABCOrder","AVINTY-024 Relatives are sorted in ABC order by their names",""
"skipped","Wed Feb 23 23:23:20 GMT 2022","Wed Feb 23 23:23:20 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","deletePatientWithRelatives","AVINTY-004 Delete patient who has relatives",""
"failed","Wed Feb 23 23:23:20 GMT 2022","Wed Feb 23 23:23:22 GMT 2022","1563","","tests.BasePageTest","","tests.BasePageTest","validateRelativesTableHeader","AVINTY-007 Check that relatives list wiew table headlines",""
"skipped","Wed Feb 23 23:23:43 GMT 2022","Wed Feb 23 23:23:43 GMT 2022","1","","tests.BasePageTest","","tests.BasePageTest","editRelativeDatasValid","AVINTY-018 Edit relative datas (all datas are valid)",""
"skipped","Wed Feb 23 23:23:43 GMT 2022","Wed Feb 23 23:23:43 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","editRelativeDatasCancelTheProcess","AVINTY-019 Edit relative datas, but cancel the progress",""
"failed","Wed Feb 23 23:23:38 GMT 2022","Wed Feb 23 23:23:40 GMT 2022","2153","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesBirthDateFieldEmpty","AVINTY-016 Add on relative but leave ""Birth date"" field empty",""
"skipped","Wed Feb 23 23:23:20 GMT 2022","Wed Feb 23 23:23:20 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","deletePatientNoRelativesButCancelTheProcess","AVINTY-003 Delete patient who has no relatives but cancel the progress at the end",""
"skipped","Wed Feb 23 23:23:20 GMT 2022","Wed Feb 23 23:23:20 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","deleteARelative","AVINTY-005 Delete a relative",""
"skipped","Wed Feb 23 23:23:43 GMT 2022","Wed Feb 23 23:23:43 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","editRelativeDatasPhoneNumberValid","AVINTY-020 Edit relative datas (all datas and phone number valid)",""
"failed","Wed Feb 23 23:23:26 GMT 2022","Wed Feb 23 23:23:28 GMT 2022","2090","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesAllDatasValidAndPhoneNumerToo","AVINTY-010 Add on relative (all datas are valid and phone number too)",""
"passed","Wed Feb 23 23:23:34 GMT 2022","Wed Feb 23 23:23:36 GMT 2022","2056","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesFirstNameFieldEmpty","AVINTY-014 Add on relative but leave ""First name"" field empty",""
"failed","Wed Feb 23 23:23:32 GMT 2022","Wed Feb 23 23:23:34 GMT 2022","2067","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesCancelTheProgress","AVINTY-013 Add on relative (all datas valid), but cancel the progress",""
