"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 25 09:42:25 GMT 2022","Fri Feb 25 09:42:27 GMT 2022","2124","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesLastNameFieldEmpty","AVINTY-015 Add on relative but leave ""Last name"" field empty",""
"failed","Fri Feb 25 09:42:19 GMT 2022","Fri Feb 25 09:42:21 GMT 2022","2197","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesBirthDateInvalid","AVINTY-012 Add on relative (all datas are valid but birth date is invalid)",""
"passed","Fri Feb 25 09:42:08 GMT 2022","Fri Feb 25 09:42:09 GMT 2022","1576","","tests.BasePageTest","","tests.BasePageTest","deleteARelativeButCancelTheProcess","AVINTY-006 Delete a relative, but cancel the process",""
"failed","Fri Feb 25 09:42:34 GMT 2022","Fri Feb 25 09:42:36 GMT 2022","2004","","tests.BasePageTest","","tests.BasePageTest","editRelativeDatasCancelTheProcess","AVINTY-019 Edit relative datas, but cancel the progress",""
"failed","Fri Feb 25 09:42:44 GMT 2022","Fri Feb 25 09:42:46 GMT 2022","2261","","tests.BasePageTest","","tests.BasePageTest","namesSortedABCOrder","AVINTY-024 Relatives are sorted in ABC order by their names",""
"passed","Fri Feb 25 09:42:03 GMT 2022","Fri Feb 25 09:42:05 GMT 2022","1523","","tests.BasePageTest","","tests.BasePageTest","deletePatientNoRelativesButCancelTheProcess","AVINTY-003 Delete patient who has no relatives but cancel the progress at the end",""
"failed","Fri Feb 25 09:42:21 GMT 2022","Fri Feb 25 09:42:23 GMT 2022","2135","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesCancelTheProgress","AVINTY-013 Add on relative (all datas valid), but cancel the progress",""
"failed","Fri Feb 25 09:42:40 GMT 2022","Fri Feb 25 09:42:42 GMT 2022","2005","","tests.BasePageTest","","tests.BasePageTest","editRelativeDatasBirthDateInvalid","AVINTY-022 Edit relative datas, modify the birt date to invalid date",""
"failed","Fri Feb 25 09:42:36 GMT 2022","Fri Feb 25 09:42:38 GMT 2022","2002","","tests.BasePageTest","","tests.BasePageTest","editRelativeDatasPhoneNumberValid","AVINTY-020 Edit relative datas (all datas and phone number valid)",""
"failed","Fri Feb 25 09:42:05 GMT 2022","Fri Feb 25 09:42:06 GMT 2022","1349","","tests.BasePageTest","","tests.BasePageTest","deletePatientWithRelatives","AVINTY-004 Delete patient who has relatives",""
"passed","Fri Feb 25 09:42:12 GMT 2022","Fri Feb 25 09:42:14 GMT 2022","2149","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesAllDatasValid","AVINTY-009 Add on relative (all datas are valid)",""
"failed","Fri Feb 25 09:42:14 GMT 2022","Fri Feb 25 09:42:17 GMT 2022","2202","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesAllDatasValidAndPhoneNumerToo","AVINTY-010 Add on relative (all datas are valid and phone number too)",""
