"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 24 22:13:16 GMT 2022","Thu Feb 24 22:13:18 GMT 2022","1449","","tests.BasePageTest","","tests.BasePageTest","deletePatientNoRelativesButCancelTheProcess","AVINTY-003 Delete patient who has no relatives but cancel the progress at the end",""
"broken","Thu Feb 24 22:13:41 GMT 2022","Thu Feb 24 22:13:43 GMT 2022","2043","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesBirthDateFieldEmpty","AVINTY-016 Add on relative but leave ""Birth date"" field empty",""
"passed","Thu Feb 24 22:13:36 GMT 2022","Thu Feb 24 22:13:38 GMT 2022","2112","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesFirstNameFieldEmpty","AVINTY-014 Add on relative but leave ""First name"" field empty",""
"failed","Thu Feb 24 22:13:49 GMT 2022","Thu Feb 24 22:13:51 GMT 2022","2066","","tests.BasePageTest","","tests.BasePageTest","editRelativeDatasPhoneNumberValid","AVINTY-020 Edit relative datas (all datas and phone number valid)",""
"passed","Thu Feb 24 22:13:21 GMT 2022","Thu Feb 24 22:13:22 GMT 2022","1615","","tests.BasePageTest","","tests.BasePageTest","deleteARelativeButCancelTheProcess","AVINTY-006 Delete a relative, but cancel the process",""
"passed","Thu Feb 24 22:13:24 GMT 2022","Thu Feb 24 22:13:25 GMT 2022","1635","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesButton","AVINTY-008 Check add on relative button",""
"failed","Thu Feb 24 22:13:18 GMT 2022","Thu Feb 24 22:13:19 GMT 2022","1290","","tests.BasePageTest","","tests.BasePageTest","deletePatientWithRelatives","AVINTY-004 Delete patient who has relatives",""
"failed","Thu Feb 24 22:13:51 GMT 2022","Thu Feb 24 22:13:53 GMT 2022","2088","","tests.BasePageTest","","tests.BasePageTest","editRelativeDatasPhoneNumberInvalid","AVINTY-021 Edit relative datas (all datas valid but phone number invalid)",""
"passed","Thu Feb 24 22:13:43 GMT 2022","Thu Feb 24 22:13:45 GMT 2022","2104","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesPhoneNumberFieldEmpty","AVINTY-017 Add on relatives but leave ""Phone number"" field empty",""
"failed","Thu Feb 24 22:13:22 GMT 2022","Thu Feb 24 22:13:24 GMT 2022","1553","","tests.BasePageTest","","tests.BasePageTest","validateRelativesTableHeader","AVINTY-007 Check that relatives list wiew table headlines",""
